PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS,REB,AST,PRA
Jalen Johnson,ATL,47,26.2,17.9,12.4,56.49999999999999
CJ McCollum,ATL,43,23.4,11.4,11.0,45.8
Dyson Daniels,ATL,34,28.9,5.7,7.6,42.2
Onyeka Okongwu,ATL,39,24.8,5.7,0.0,30.5
Nickeil Alexander-Walker,ATL,55,13.8,5.7,7.6,27.1
Jock Landale,ATL,26,12.4,5.7,0.0,18.1
Zaccharie Risacher,ATL,32,9.5,5.7,1.9,17.099999999999998
Mouhamed Gueye,ATL,11,11.4,5.7,0.0,17.1
Corey Kispert,ATL,32,3.8,5.7,3.8,13.3
Asa Newell,ATL,8,0.0,1.9,0.0,1.9
Buddy Hield,ATL,0,0.0,0.0,0.0,0.0
Gabe Vincent,ATL,0,0.0,0.0,0.0,0.0
Keaton Wallace,ATL,0,0.0,0.0,0.0,0.0
RayJ Dennis,ATL,0,0.0,0.0,0.0,0.0
Nikola Đurišić,ATL,0,0.0,0.0,0.0,0.0
Caleb Houstan,ATL,0,0.0,0.0,0.0,0.0
Christian Koloko,ATL,0,0.0,0.0,0.0,0.0
Jonathan Kuminga,ATL,0,0.0,0.0,0.0,0.0
Brandon Miller,CHA,48,42.7,12.4,3.8,58.9
LaMelo Ball,CHA,44,33.0,7.6,11.4,52.0
Kon Knueppel,CHA,41,24.8,11.4,7.6,43.800000000000004
Grant Williams,CHA,44,13.3,11.0,9.5,33.8
PJ Hall,CHA,22,15.1,13.8,0.0,28.9
Ryan Kalkbrenner,CHA,32,9.5,11.4,1.9,22.799999999999997
Sion James,CHA,23,5.7,5.7,5.7,17.1
Tidjane Salaün,CHA,21,5.7,7.6,0.0,13.3
Tre Mann,CHA,21,9.5,0.0,0.0,9.5
Josh Green,CHA,26,5.7,0.0,0.0,5.7
Miles Bridges,CHA,0,0.0,0.0,0.0,0.0
Pat Connaughton,CHA,0,0.0,0.0,0.0,0.0
Moussa Diabaté,CHA,0,0.0,0.0,0.0,0.0
Xavier Tillman,CHA,2,0.0,0.0,0.0,0.0
Tosan Evbuomwan,CHA,0,0.0,0.0,0.0,0.0
Liam McNeeley,CHA,0,0.0,0.0,0.0,0.0
Antonio Reeves,CHA,0,0.0,0.0,0.0,0.0
Coby White,CHA,0,0.0,0.0,0.0,0.0
Sam Merrill,CLE,33,44.1,9.5,1.9,55.5
Donovan Mitchell,CLE,37,41.3,5.7,9.5,56.5
Jarrett Allen,CLE,36,28.9,12.4,1.9,43.199999999999996
James Harden,CLE,39,17.9,7.6,15.1,40.6
Keon Ellis,CLE,37,11.4,7.6,5.7,24.7
Nae'Qwan Tomlin,CLE,21,11.0,9.5,0.0,20.5
Thomas Bryant,CLE,22,11.4,11.4,1.9,24.7
Jaylon Tyson,CLE,29,13.3,9.5,1.9,24.7
Craig Porter Jr.,CLE,23,0.0,7.6,7.6,15.2
Dennis Schröder,CLE,23,13.3,5.7,3.8,22.8
Larry Nance Jr.,CLE,9,5.7,3.8,1.9,11.4
