PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS,REB,AST,PRA,fatigue_flag
Jalen Johnson,ATL,47,26.2,17.9,12.4,56.49999999999999,1
CJ McCollum,ATL,43,23.4,11.4,11.0,45.8,1
Dyson Daniels,ATL,34,28.9,5.7,7.6,42.2,0
Onyeka Okongwu,ATL,39,24.8,5.7,0.0,30.5,1
Nickeil Alexander-Walker,ATL,55,13.8,5.7,7.6,27.1,1
Jock Landale,ATL,26,12.4,5.7,0.0,18.1,0
Zaccharie Risacher,ATL,32,9.5,5.7,1.9,17.099999999999998,0
Mouhamed Gueye,ATL,11,11.4,5.7,0.0,17.1,0
Corey Kispert,ATL,32,3.8,5.7,3.8,13.3,0
Asa Newell,ATL,8,0.0,1.9,0.0,1.9,0
Buddy Hield,ATL,0,0.0,0.0,0.0,0.0,0
Gabe Vincent,ATL,0,0.0,0.0,0.0,0.0,0
Keaton Wallace,ATL,0,0.0,0.0,0.0,0.0,0
RayJ Dennis,ATL,0,0.0,0.0,0.0,0.0,0
Nikola Đurišić,ATL,0,0.0,0.0,0.0,0.0,0
Caleb Houstan,ATL,0,0.0,0.0,0.0,0.0,0
Christian Koloko,ATL,0,0.0,0.0,0.0,0.0,0
Jonathan Kuminga,ATL,0,0.0,0.0,0.0,0.0,0
Brandon Miller,CHA,48,42.7,12.4,3.8,58.9,1
LaMelo Ball,CHA,44,33.0,7.6,11.4,52.0,1
Kon Knueppel,CHA,41,24.8,11.4,7.6,43.8,1
Grant Williams,CHA,44,13.3,11.0,9.5,33.8,1
PJ Hall,CHA,22,15.1,13.8,0.0,28.9,0
Ryan Kalkbrenner,CHA,32,9.5,11.4,1.9,22.8,0
Sion James,CHA,23,5.7,5.7,5.7,17.1,0
Tidjane Salaün,CHA,21,5.7,7.6,0.0,13.3,0
Tre Mann,CHA,21,9.5,0.0,0.0,9.5,0
Josh Green,CHA,26,5.7,0.0,0.0,5.7,0
Miles Bridges,CHA,0,0.0,0.0,0.0,0.0,0
Pat Connaughton,CHA,0,0.0,0.0,0.0,0.0,0
Moussa Diabaté,CHA,0,0.0,0.0,0.0,0.0,0
Xavier Tillman,CHA,2,0.0,0.0,0.0,0.0,0
Tosan Evbuomwan,CHA,0,0.0,0.0,0.0,0.0,0
Liam McNeeley,CHA,0,0.0,0.0,0.0,0.0,0
Antonio Reeves,CHA,0,0.0,0.0,0.0,0.0,0
Coby White,CHA,0,0.0,0.0,0.0,0.0,0
Sam Merrill,CLE,33,44.1,9.5,1.9,55.5,0
Donovan Mitchell,CLE,37,41.3,5.7,9.5,56.5,1
Jarrett Allen,CLE,36,28.9,12.4,1.9,43.2,1
James Harden,CLE,39,17.9,7.6,15.1,40.6,1
Keon Ellis,CLE,37,11.4,7.6,5.7,24.7,1
Nae'Qwan Tomlin,CLE,21,11.0,9.5,0.0,20.5,0
Thomas Bryant,CLE,22,11.4,11.4,1.9,24.7,0
Jaylon Tyson,CLE,29,13.3,9.5,1.9,24.7,0
Craig Porter Jr.,CLE,23,0.0,7.6,7.6,15.2,0
Dennis Schröder,CLE,23,13.3,5.7,3.8,22.8,0
Larry Nance Jr.,CLE,9,5.7,3.8,1.9,11.4,0
Tristan Enaruna,CLE,9,3.8,1.9,0.0,5.699999999999999,0
Tyrese Proctor,CLE,9,5.7,0.0,0.0,5.7,0
Emanuel Miller,CLE,0,0.0,0.0,0.0,0.0,0
Evan Mobley,CLE,0,0.0,0.0,0.0,0.0,0
Max Strus,CLE,0,0.0,0.0,0.0,0.0,0
Dean Wade,CLE,0,0.0,0.0,0.0,0.0,0
Kevin Porter Jr.,MIL,52,24.8,13.8,15.1,53.7,1
Cam Thomas,MIL,34,46.8,7.6,3.8,58.2,0
Jericho Sims,MIL,48,23.4,15.1,3.8,42.3,1
Myles Turner,MIL,41,9.5,11.0,3.8,24.3,1
Kyle Kuzma,MIL,40,20.7,13.3,3.8,37.8,1
Ousmane Dieng,MIL,30,23.4,5.7,0.0,29.1,0
AJ Green,MIL,41,11.4,1.9,3.8,17.1,1
Bobby Portis,MIL,22,7.6,3.8,0.0,11.4,0
Gary Harris,MIL,11,0.0,1.9,1.9,3.8,0
Thanasis Antetokounmpo,MIL,0,0.0,0.0,0.0,0.0,0
Andre Jackson Jr.,MIL,0,0.0,0.0,0.0,0.0,0
Gary Trent Jr.,MIL,0,0.0,0.0,0.0,0.0,0
Alex Antetokounmpo,MIL,0,0.0,0.0,0.0,0.0,0
Giannis Antetokounmpo,MIL,0,0.0,0.0,0.0,0.0,0
Taurean Prince,MIL,0,0.0,0.0,0.0,0.0,0
Ryan Rollins,MIL,0,0.0,0.0,0.0,0.0,0
Pete Nance,MIL,8,0.0,0.0,0.0,0.0,0
Jalen Suggs,ORL,47,22.0,1.9,13.8,37.7,1
Desmond Bane,ORL,52,42.7,3.8,9.5,56.0,1
Moritz Wagner,ORL,23,16.5,9.5,7.6,33.6,0
Wendell Carter Jr.,ORL,41,11.4,15.1,5.7,32.2,1
Paolo Banchero,ORL,54,23.4,7.6,3.8,34.8,1
Anthony Black,ORL,33,17.9,5.7,5.7,29.3,0
Franz Wagner,ORL,28,9.5,0.0,5.7,15.2,0
Tristan da Silva,ORL,32,9.5,7.6,0.0,17.1,0
Jase Richardson,ORL,11,5.7,0.0,1.9,7.6,0
Goga Bitadze,ORL,0,0.0,0.0,0.0,0.0,0
Jamal Cain,ORL,0,0.0,0.0,0.0,0.0,0
Jevon Carter,ORL,0,0.0,0.0,0.0,0.0,0
Jonathan Isaac,ORL,0,0.0,0.0,0.0,0.0,0
Noah Penda,ORL,6,0.0,0.0,0.0,0.0,0
Colin Castleton,ORL,0,0.0,0.0,0.0,0.0,0
Jett Howard,ORL,0,0.0,0.0,0.0,0.0,0
Orlando Robinson,ORL,0,0.0,0.0,0.0,0.0,0
Justin Champagnie,WAS,33,16.5,11.0,3.8,31.3,0
Kyshawn George,WAS,33,23.4,9.5,5.7,38.6,0
Sharife Cooper,WAS,32,15.1,9.5,9.5,34.1,0
Bilal Coulibaly,WAS,33,17.9,0.0,3.8,21.7,0
Jamir Watkins,WAS,39,22.0,5.7,3.8,31.5,1
Tre Johnson,WAS,25,13.8,5.7,3.8,23.3,0
Anthony Gill,WAS,26,7.6,7.6,3.8,19.0,0
Bub Carrington,WAS,29,11.0,5.7,7.6,24.3,0
Jaden Hardy,WAS,19,15.1,3.8,1.9,20.8,0
Kadary Richmond,WAS,11,9.5,3.8,1.9,15.2,0
Will Riley,WAS,39,7.6,7.6,3.8,19.0,1
Keshon Gilbert,WAS,11,3.8,1.9,0.0,5.699999999999999,0
Anthony Davis,WAS,0,0.0,0.0,0.0,0.0,0
D'Angelo Russell,WAS,0,0.0,0.0,0.0,0.0,0
Alexandre Sarr,WAS,0,0.0,0.0,0.0,0.0,0
Tristan Vukcevic,WAS,0,0.0,0.0,0.0,0.0,0
Cam Whitmore,WAS,0,0.0,0.0,0.0,0.0,0
Trae Young,WAS,0,0.0,0.0,0.0,0.0,0
Day'Ron Sharpe,BKN,41,26.2,16.5,9.5,52.2,1
