StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,FanDuelSalary,DraftKingsSalary,FantasyDataSalary,YahooSalary,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelPosition,DraftKingsPosition,YahooPosition,OpponentRank,OpponentPositionRank,GlobalTeamID,FantasyDraftSalary,FantasyDraftPosition,GameID,OpponentID,Opponent,Day,DateTime,HomeOrAway,IsGameOver,GlobalGameID,GlobalOpponentID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
1536213,13,20001710,1,2026,Pascal Siakam,IND,PF,1,4922,5100,5100,24,Scrambled,Scrambled,,Scrambled,PF/C,PF,PF,1,3,20000013,,Scrambled,23236,6,NY,2026-02-10T00:00:00,2026-02-10T19:30:00,AWAY,True,20023236,20000006,2026-02-11T22:21:44,1,28.6,21,34,3.9,15.4,25.1,27.4,2.8,5.6,29.6,1.1,3.5,17.8,1.8,3.5,29.6,0.0,2.1,2.1,0.0,11.3,3.4,1.4,1.1,0.0,0.4,0.0,17.8,18.0,29.2,15.7,5.9,1.3,0.0,1.1,22.4,30.4,29.9,30.4,-4.2,0.0,0.0,29.9,True,True,Scrambled
1536216,13,20002914,1,2026,Andrew Nembhard,IND,PG,1,4329,4329,4329,19,Scrambled,Scrambled,,Scrambled,PG/SG,PG,SG,1,1,20000013,,Scrambled,23236,6,NY,2026-02-10T00:00:00,2026-02-10T19:30:00,AWAY,True,20023236,20000006,2026-02-11T22:21:44,1,24.2,21,25,3.2,5.6,33.3,40.8,1.8,2.8,37.1,1.4,2.8,29.6,0.7,0.7,59.3,0.0,1.4,1.4,0.0,4.5,2.3,3.5,0.0,0.0,1.1,0.7,14.2,10.0,41.9,16.3,23.1,0.0,0.0,5.3,14.2,24.2,27.3,24.2,0.0,0.4,0.0,27.3,True,True,Scrambled
1536215,13,20002950,1,2026,Quenton Jackson,IND,SG,1,2313,2016,2016,5,Scrambled,Scrambled,,Scrambled,SG,PG/SG,SG,1,5,20000013,,Scrambled,23236,6,NY,2026-02-10T00:00:00,2026-02-10T19:30:00,AWAY,True,20023236,20000006,2026-02-11T22:21:44,1,20.0,17,1,1.8,2.5,42.3,59.3,0.4,0.4,59.3,1.4,2.1,39.6,1.8,2.1,49.4,0.7,1.4,2.1,3.0,5.9,4.5,1.1,0.4,0.4,0.4,0.4,11.3,3.4,59.3,21.9,4.9,0.6,1.2,3.3,5.9,21.2,21.6,21.2,0.0,0.0,0.0,21.6,True,True,Scrambled
1536212,13,20002539,1,2026,Aaron Nesmith,IND,PF,1,3084,3202,3202,15,Scrambled,Scrambled,,Scrambled,SF/PF,SF,SF,1,2,20000013,,Scrambled,23236,6,NY,2026-02-10T00:00:00,2026-02-10T19:30:00,AWAY,True,20023236,20000006,2026-02-11T22:21:44,1,13.4,21,18,1.4,3.5,23.7,23.7,1.1,2.5,25.4,0.4,1.1,19.7,0.7,0.7,59.3,0.7,2.1,2.8,2.3,11.5,4.6,0.0,0.0,0.7,0.7,1.8,3.9,3.8,29.6,2.9,0.0,0.0,1.9,5.5,5.5,14.6,14.5,14.6,0.0,0.0,0.0,14.5,True,True,Scrambled
1536221,13,20003070,1,2026,Ben Sheppard,IND,SF,0,2253,2076,2076,5,Scrambled,Scrambled,,Scrambled,SG/PG,SG/SF,SG,1,5,20000013,,Scrambled,23236,6,NY,2026-02-10T00:00:00,2026-02-10T19:30:00,AWAY,True,20023236,20000006,2026-02-11T22:21:44,1,12.7,10,5,1.4,1.8,47.4,59.3,0.7,0.7,59.3,0.7,1.1,39.6,0.0,0.0,0.0,0.0,2.5,2.5,0.0,28.3,14.3,0.7,0.0,0.0,0.0,0.0,3.5,1.8,59.3,19.9,5.7,0.0,0.0,0.0,4.5,12.7,13.5,12.7,0.7,0.0,0.0,13.5,True,True,Scrambled
1536218,13,20002735,1,2026,Jay Huff,IND,C,0,2906,3084,3084,12,Scrambled,Scrambled,,Scrambled,C,PF/C,C,1,2,20000013,,Scrambled,23236,6,NY,2026-02-10T00:00:00,2026-02-10T19:30:00,AWAY,True,20023236,20000006,2026-02-11T22:21:44,1,12.4,14,2,1.4,3.2,26.3,26.3,1.1,1.1,59.3,0.4,2.1,5.9,0.4,0.4,59.3,0.0,0.7,0.7,0.0,3.4,1.7,1.1,0.4,0.4,0.0,1.4,3.5,3.3,31.2,5.9,5.6,0.7,1.4,0.0,10.3,13.6,12.7,13.6,1.4,0.0,0.0,12.7,True,True,Scrambled
1536217,13,20003072,1,2026,Kobe Brown,IND,PF,0,2135,1779,1779,4,Scrambled,Scrambled,,Scrambled,SF,C,SF,1,3,20000013,,Scrambled,23236,6,NY,2026-02-10T00:00:00,2026-02-10T19:30:00,AWAY,True,20023236,20000006,2026-02-11T22:21:44,1,10.5,11,31,1.1,1.4,44.5,59.3,0.7,1.1,39.6,0.4,0.4,59.3,0.4,0.7,29.6,0.7,1.4,2.1,4.5,14.8,11.2,0.4,0.4,0.0,0.4,1.1,2.8,1.7,47.4,13.1,2.4,0.9,0.0,10.1,4.9,11.1,11.3,11.1,4.6,0.0,0.0,11.3,True,True,Scrambled
1536220,13,20001525,1,2026,T.J. McConnell,IND,PG,0,2609,2491,2491,14,Scrambled,Scrambled,,Scrambled,PG,PG,PG,1,1,20000013,,Scrambled,23236,6,NY,2026-02-10T00:00:00,2026-02-10T19:30:00,AWAY,True,20023236,20000006,2026-02-11T22:21:44,1,10.5,6,11,2.1,3.2,39.6,39.6,2.1,3.2,39.6,0.0,0.0,0.0,0.4,0.4,59.3,0.0,0.4,0.4,0.0,2.5,1.3,1.1,0.0,0.0,0.4,0.4,4.6,3.3,40.6,17.9,19.0,0.0,0.0,3.4,16.9,10.5,10.8,10.5,1.1,0.0,0.0,10.8,True,True,Scrambled
1536214,13,20002727,1,2026,Micah Potter,IND,PF,1,2253,2076,2076,5,Scrambled,Scrambled,,Scrambled,PF/C,PF/C,PF,1,3,20000013,,Scrambled,23236,6,NY,2026-02-10T00:00:00,2026-02-10T19:30:00,AWAY,True,20023236,20000006,2026-02-11T22:21:44,1,5.2,17,28,1.1,3.2,19.7,26.3,0.4,0.7,29.6,0.7,2.5,17.0,0.7,0.7,59.3,0.0,0.7,0.7,0.0,2.9,1.5,1.1,0.0,0.0,0.7,1.4,3.5,3.5,29.6,2.2,4.4,0.0,0.0,5.9,10.9,5.2,10.1,5.2,0.7,0.0,0.0,10.1,True,True,Scrambled
1536219,13,20003470,1,2026,Kam Jones,IND,PG,0,2313,2313,2313,4,Scrambled,Scrambled,,Scrambled,SG/PG,PG/SG,SG,1,1,20000013,,Scrambled,23236,6,NY,2026-02-10T00:00:00,2026-02-10T19:30:00,AWAY,True,20023236,20000006,2026-02-11T22:21:44,1,1.7,12,17,0.4,0.7,29.6,29.6,0.4,0.4,59.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,1.9,1.0,0.4,0.0,0.0,0.0,1.1,0.7,0.7,29.6,0.7,1.8,0.0,0.0,0.0,1.5,1.7,1.7,1.7,-1.2,0.0,0.0,1.7,True,True,Scrambled
