PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS,REB,AST,PRA,prop_line,projected_PRA,edge
Onyeka Okongwu,ATL,39,24.8,5.7,0.0,30.5,29.0,33.74957,4.749568939208984
Nickeil Alexander-Walker,ATL,55,13.8,5.7,7.6,27.1,25.6,32.250572,6.650572204589842
Jock Landale,ATL,26,12.4,5.7,0.0,18.1,16.6,19.270727,2.670727157592772
Zaccharie Risacher,ATL,32,9.5,5.7,1.9,17.099999999999998,15.599999999999998,23.172539,7.572538757324221
Corey Kispert,ATL,32,3.8,5.7,3.8,13.3,11.8,23.172539,11.372538757324218
Asa Newell,ATL,8,0.0,1.9,0.0,1.9,0.3999999999999999,4.180289,3.7802887916564942
Grant Williams,CHA,44,13.3,11.0,9.5,33.8,32.3,38.493004,6.193003845214847
Sion James,CHA,23,5.7,5.7,5.7,17.1,15.600000000000001,19.663315,4.063314819335936
Tidjane Salaün,CHA,21,5.7,7.6,0.0,13.3,11.8,18.530203,6.730202865600585
Tre Mann,CHA,21,9.5,0.0,0.0,9.5,8.0,18.530203,10.530202865600586
Josh Green,CHA,26,5.7,0.0,0.0,5.7,4.2,19.270727,15.070727157592774
Keon Ellis,CLE,37,11.4,7.6,5.7,24.7,23.2,33.43345,10.233448791503907
Craig Porter Jr.,CLE,23,0.0,7.6,7.6,15.2,13.7,19.663315,5.963314819335938
Myles Turner,MIL,41,9.5,11.0,3.8,24.3,22.8,38.55782,15.757819366455077
AJ Green,MIL,41,11.4,1.9,3.8,17.1,15.600000000000001,38.55782,22.957819366455077
Bobby Portis,MIL,22,7.6,3.8,0.0,11.4,9.9,19.489202,9.589202499389648
Gary Harris,MIL,11,0.0,1.9,1.9,3.8,2.3,9.844763,7.544762802124024
Pete Nance,MIL,8,0.0,0.0,0.0,0.0,-1.5,4.180289,5.680288791656494
Jalen Suggs,ORL,47,22.0,1.9,13.8,37.7,36.2,44.525223,8.32522277832031
Wendell Carter Jr.,ORL,41,11.4,15.1,5.7,32.2,30.700000000000003,38.55782,7.857819366455075
Paolo Banchero,ORL,54,23.4,7.6,3.8,34.8,33.3,44.000095,10.700095367431643
Anthony Black,ORL,33,17.9,5.7,5.7,29.3,27.8,30.055384,2.255383682250976
Franz Wagner,ORL,28,9.5,0.0,5.7,15.2,13.7,27.38701,13.687010574340821
Tristan da Silva,ORL,32,9.5,7.6,0.0,17.1,15.600000000000001,23.172539,7.572538757324217
Jase Richardson,ORL,11,5.7,0.0,1.9,7.6,6.1,9.844763,3.744762802124024
Noah Penda,ORL,6,0.0,0.0,0.0,0.0,-1.5,1.5825354,3.0825353860855103
Bilal Coulibaly,WAS,33,17.9,0.0,3.8,21.7,20.2,30.055384,9.855383682250977
Jamir Watkins,WAS,39,22.0,5.7,3.8,31.5,30.0,33.74957,3.7495689392089844
Tre Johnson,WAS,25,13.8,5.7,3.8,23.3,21.8,28.158054,6.35805435180664
Jaden Hardy,WAS,19,15.1,3.8,1.9,20.8,19.3,22.797506,3.4975063323974602
Will Riley,WAS,39,7.6,7.6,3.8,19.0,17.5,33.74957,16.249568939208984
Keshon Gilbert,WAS,11,3.8,1.9,0.0,5.699999999999999,4.199999999999999,9.844763,5.644762802124024
Egor Demin,BKN,44,17.9,9.5,9.5,36.9,35.4,38.493004,3.093003845214845
Ochai Agbaji,BKN,22,0.0,11.4,3.8,15.2,13.7,19.489202,5.789202499389649
Drake Powell,BKN,26,11.4,1.9,1.9,15.2,13.7,19.270727,5.570727157592774
Jalen Wilson,BKN,21,5.7,3.8,0.0,9.5,8.0,18.530203,10.530202865600586
Terance Mann,BKN,34,7.6,3.8,1.9,13.3,11.8,34.50938,22.70938034057617
Derrick White,BOS,40,12.4,7.6,12.4,32.4,30.9,34.145245,3.2452445983886733
Sam Hauser,BOS,29,16.5,3.8,0.0,20.3,18.8,24.100983,5.300982666015624
Ron Harper Jr.,BOS,22,0.0,5.7,1.9,7.6,6.1,19.489202,13.389202499389649
Hugo González,BOS,12,0.0,3.8,0.0,3.8,2.3,8.9760275,6.676027488708496
Luka Garza,BOS,11,0.0,0.0,0.0,0.0,-1.5,9.844763,11.344762802124023
Rob Dillingham,CHI,41,22.0,1.9,13.3,37.2,35.7,38.55782,2.8578193664550753
Patrick Williams,CHI,47,16.5,5.7,11.4,33.6,32.1,44.525223,12.425222778320311
Jaden Ivey,CHI,39,13.8,5.7,7.6,27.1,25.6,33.74957,8.149568939208983
Collin Sexton,CHI,43,20.7,5.7,1.9,28.3,26.8,34.650566,7.850566101074218
Guerschon Yabusele,CHI,34,17.9,3.8,3.8,25.5,24.0,34.50938,10.509380340576172
Anfernee Simons,CHI,37,13.3,9.5,1.9,24.7,23.2,33.43345,10.233448791503907
Nick Richards,CHI,28,9.5,7.6,0.0,17.1,15.600000000000001,27.38701,11.787010574340819
Tobias Harris,DET,43,16.5,16.5,0.0,33.0,31.5,34.650566,3.1505661010742188
Duncan Robinson,DET,33,17.9,7.6,1.9,27.4,25.9,30.055384,4.155383682250978
Ausar Thompson,DET,33,7.6,7.6,7.6,22.8,21.3,30.055384,8.755383682250976
Caris LeVert,DET,23,12.4,3.8,1.9,18.1,16.6,19.663315,3.063314819335936
Kevin Huerter,DET,28,12.4,5.7,0.0,18.1,16.6,27.38701,10.787010574340819
Daniss Jenkins,DET,22,11.0,5.7,1.9,18.6,17.1,19.489202,2.389202499389647
Javonte Green,DET,22,5.7,7.6,3.8,17.1,15.600000000000001,19.489202,3.889202499389647
